vesslterms,feature_type,chart,latdec,longdec,depth,histroy,quasou,watlev,coordinates
,Wrecks - Visible,"US,US,graph,Chart 12366",40.8266859,,,,,always dry,"[-73.7063606,40.8266859]"
,"Wrecks - Submerged, dangerous","US,US,reprt,L-1-2015",9.3723889,,2.2,,,always under water/submerged,"[-79.9005833,9.3723889]"
,"Wrecks - Submerged, nondangerous","US,US,graph,Chart 16741",59.8833547,,,,depth unknown,always under water/submerged,"[-141.5333804,59.8833547]"
,Wrecks - Visible,"US,US,graph,Chart 17405",55.4782513,,,,,always dry,"[-133.1354441,55.4782513]"
FORT YUKON,Wrecks - Visible,"US,US,reprt,17thCGD,LNM 47/10",57.325144,,,,,always dry,"[-156.326711,57.325144]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 18650",37.7851349,,,,depth unknown,always under water/submerged,"[-122.2480197,37.7851349]"
,Wrecks - Visible,"US,US,graph,Chart 18653",37.937423,,,,,always dry,"[-122.4144635,37.937423]"
,Wrecks - Visible,"US,US,graph,Chart 18654",38.155688,,,,,always dry,"[-122.350899,38.155688]"
,Wrecks - Visible,"US,US,graph,Chart 18661",38.0098815,,,,,always dry,"[-121.7227486,38.0098815]"
,"Wrecks - Submerged, dangerous","US,US,graph,H-12617",33.765495,,12,,least depth known,always under water/submerged,"[-118.24458,33.765495]"
,"Wrecks - Submerged, dangerous","US,US,graph,H-12617",33.770795,,12.8,,least depth known,always under water/submerged,"[-118.214225,33.770795]"
,"Wrecks - Submerged, dangerous","US,US,graph,W-00149",33.0364561,,,,depth unknown,always under water/submerged,"[-118.5828755,33.0364561]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 13244",41.523744,,10.6,,least depth known,always under water/submerged,"[-70.002088,41.523744]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12281",39.2423788,,1.2,,least depth known,always under water/submerged,"[-76.5029922,39.2423788]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12281",39.2699916,,,,depth unknown,always under water/submerged,"[-76.6259811,39.2699916]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12281",39.2501657,,,,depth unknown,always under water/submerged,"[-76.4796331,39.2501657]"
,Wrecks - Visible,"US,US,graph,Chart 12281",39.2586006,,,,,always dry,"[-76.4946315,39.2586006]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12278",39.2909669,,,,depth unknown,always under water/submerged,"[-76.4622442,39.2909669]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12278",39.2819402,,,,depth unknown,always under water/submerged,"[-76.1693811,39.2819402]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12278",39.0313878,,,,depth unknown,always under water/submerged,"[-76.2535013,39.0313878]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12278",39.0429018,,2.1,,value reported (not confirmed),always under water/submerged,"[-76.311266,39.0429018]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12270",38.9011182,,,,depth unknown,always under water/submerged,"[-76.4986496,38.9011182]"
,"Wrecks - Submerged, dangerous","US,US,reprt,L-46/02",39.449737,,,,depth unknown,always under water/submerged,"[-76.276819,39.449737]"
,"Wrecks - Submerged, dangerous","US,US,reprt,L-46/02",39.450252,,,,depth unknown,always under water/submerged,"[-76.27321,39.450252]"
,"Wrecks - Submerged, nondangerous","US,US,graph,Chart 12274",39.3817,,,,depth unknown,always under water/submerged,"[-76.304412,39.3817]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12274",39.39141,,,,depth unknown,always under water/submerged,"[-76.249093,39.39141]"
,Wrecks - Visible,"US,US,graph,Chart 12274",39.373462,,,,,always dry,"[-75.946048,39.373462]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12266",38.666662,,,,depth unknown,always under water/submerged,"[-76.520499,38.666662]"
,"Wrecks - Submerged, nondangerous","US,US,graph,Chart 12266",38.5141336,,,,depth unknown,always under water/submerged,"[-76.2245407,38.5141336]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12272",39.1423646,,,,depth unknown,always under water/submerged,"[-76.2473007,39.1423646]"
,Wrecks - Visible,"US,US,graph,Chart 12272",39.1308137,,,,,always dry,"[-76.2442774,39.1308137]"
,Wrecks - Visible,"US,US,graph,Chart 12272",38.9626072,,,,,always dry,"[-76.232812,38.9626072]"
,Wrecks - Visible,"US,US,graph,Chart 12264",38.4173983,,,,,always dry,"[-76.5506465,38.4173983]"
,"Wrecks - Submerged, dangerous","US,US,reprt,DD-14719",38.9726742,,14.3,,value reported (not confirmed),always under water/submerged,"[-76.3895717,38.9726742]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12282",39.0269978,,,,depth unknown,always under water/submerged,"[-76.3962051,39.0269978]"
,Wrecks - Visible,"US,US,graph,Chart 12261",38.262915,,,,,always dry,"[-76.173903,38.262915]"
,"Wrecks - Submerged, nondangerous","US,US,graph,Chart 12281",39.2584385,,,,depth unknown,always under water/submerged,"[-76.4937221,39.2584385]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12278",39.1452068,,,,depth unknown,always under water/submerged,"[-76.5467789,39.1452068]"
,"Wrecks - Submerged, nondangerous","US,US,graph,Chart 12278",39.2132022,,,,depth unknown,always under water/submerged,"[-76.4167937,39.2132022]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12278",39.1065425,,,,depth unknown,always under water/submerged,"[-76.1769712,39.1065425]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12278",39.2567186,,5.4,,value reported (not confirmed),always under water/submerged,"[-76.3248042,39.2567186]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12278",39.1092119,,,,depth unknown,always under water/submerged,"[-76.1809528,39.1092119]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12270",38.872295,,,,depth unknown,always under water/submerged,"[-76.371843,38.872295]"
,Wrecks - Visible,"US,US,graph,Chart 12270",38.8669817,,,,,always dry,"[-76.5261344,38.8669817]"
,Wrecks - Visible,"US,US,graph,Chart 12274",39.357712,,,,,always dry,"[-75.984444,39.357712]"
,,"US,US,reprt,L-247/02 (BP-172187,H-10905)",39.323139,,4.8,,least depth known,always under water/submerged,"[-76.196111,39.323139]"
,Wrecks - Visible,"US,US,graph,Chart 12274",39.577706,,,,,always dry,"[-76.109495,39.577706]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12274",39.574085,,,,depth unknown,always under water/submerged,"[-75.96689,39.574085]"
,Wrecks - Visible,"US,US,graph,Chart 12266",38.7767459,,,,,always dry,"[-76.3102154,38.7767459]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12266",38.7116286,,,,depth unknown,always under water/submerged,"[-76.330269,38.7116286]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12266",38.750739,,13.4,,least depth known,always under water/submerged,"[-76.44904,38.750739]"
,,"US,US,graph,Chart 12272",38.9657898,,,,depth unknown,always under water/submerged,"[-76.2412722,38.9657898]"
,Wrecks - Visible,"US,US,graph,Chart 12264",38.48307,,,,,always dry,"[-76.684904,38.48307]"
,"Wrecks - Submerged, dangerous","US,US,graph,BP-189868",38.466938,,,,depth unknown,always under water/submerged,"[-76.351124,38.466938]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12264",38.3469156,,,,depth unknown,always under water/submerged,"[-76.2321806,38.3469156]"
,Wrecks - Visible,"US,US,graph,Chart 12264",38.4992629,,,,,always dry,"[-76.6528298,38.4992629]"
,"Wrecks - Submerged, nondangerous","US,US,graph,Chart 12281",39.265821,,,,depth unknown,always under water/submerged,"[-76.5692703,39.265821]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 13244",41.585865,,4.5,,value reported (not confirmed),always under water/submerged,"[-69.962029,41.585865]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12281",39.2571083,,,,depth unknown,always under water/submerged,"[-76.6246073,39.2571083]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12281",39.2010817,,3.6,,least depth known,always under water/submerged,"[-76.4676514,39.2010817]"
,Wrecks - Visible,"US,US,graph,Chart 12281",39.2595554,,,,,always dry,"[-76.4849635,39.2595554]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12278",39.2245972,,,,depth unknown,covers and uncovers,"[-76.4080681,39.2245972]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12270",38.8884235,,,,depth unknown,always under water/submerged,"[-76.4845627,38.8884235]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12270",38.9200067,,,,depth unknown,always under water/submerged,"[-76.5154006,38.9200067]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12270",38.872795,,,,depth unknown,always under water/submerged,"[-76.513958,38.872795]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12274",39.384249,,0.3,,value reported (not surveyed),always under water/submerged,"[-76.257663,39.384249]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12274",39.503949,,,,depth unknown,always under water/submerged,"[-75.989778,39.503949]"
,"Wrecks - Submerged, dangerous","US,US,graph,H-11023",39.5655232,,3,,"least depth unknown, safe clearance at value shown",always under water/submerged,"[-75.561843,39.5655232]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12266",38.511788,,13.4,,least depth known,always under water/submerged,"[-76.3918762,38.511788]"
,"Wrecks - Submerged, nondangerous","US,US,graph,Chart 12270",38.83875,,,,depth unknown,always under water/submerged,"[-76.268452,38.83875]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12272",39.1317163,,0.1,,least depth known,always under water/submerged,"[-76.2395475,39.1317163]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12264",38.335517,,,,depth unknown,always under water/submerged,"[-76.198359,38.335517]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12282",39.0675542,,0.6,,value reported (not confirmed),always under water/submerged,"[-76.5641798,39.0675542]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12282",39.0776528,,0.3,,least depth known,always under water/submerged,"[-76.4575086,39.0776528]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 13244",41.527573,,10.3,,least depth known,always under water/submerged,"[-69.984472,41.527573]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12281",39.2417224,,,,depth unknown,always under water/submerged,"[-76.5051623,39.2417224]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12281",39.2674162,,,,depth unknown,always under water/submerged,"[-76.5803128,39.2674162]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12281",39.2119704,,,,depth unknown,always under water/submerged,"[-76.5723749,39.2119704]"
